Nume clasa statistica:,serii lunare
Observatii despre clasa statistica:, Cursul de schimb mediu lunar se calculează ca medie aritmetică simplă a cursurilor valutare zilnice ale pieţei valutare comunicate de BNR
Nota despre clasa statistica:, serii disponibile începând din ianuarie 2005; pentru perioada ian.- iun.2005 valorile sunt calculate pe baza cursurilor în ROL (publicate înainte de momentul denominării)
Metodologie:,

Data;AUD  mediu (RON/AUD) CURSL_AUDM;CAD  mediu (RON/CAD) CURSL_CADM;CHF  mediu (RON/CHF) CURSL_CHFM;CZK  mediu (RON/CZK) CURSL_CZKM;DKK  mediu (RON/DKK) CURSL_DKKM;EGP  mediu (RON/EGP) CURSL_EGPM;EUR  mediu (RON/EUR) CURSL_EURM;GBP  mediu (RON/GBP) CURSL_GBPM;HUF  mediu (RON/HUF) CURSL_HUFM;JPY  mediu (RON/JPY) CURSL_JPYM;MDL  mediu (RON/MDL) CURSL_MDLM;NOK  mediu (RON/NOK) CURSL_NOKM;PLN  mediu (RON/PLN) CURSL_PLNM;SEK  mediu (RON/SEK) CURSL_SEKM;TRY  mediu (RON/TRY) CURSL_TRYM;USD  mediu (RON/USD) CURSL_USDM;XAU  mediu (RON/XAU) CURSL_XAUM;XDR  mediu (RON/XDR) CURSL_XDRM;RUB  mediu (RON/RUB) CURSL_RUBM;SKK  mediu (RON/SKK) CURSL_SKKM;BGN  mediu (RON/BGN) CURSL_BGNM;ZAR  mediu (RON/ZAR) CURSL_ZARM;BRL  mediu (RON/BRL) CURSL_BRLM;CNY  mediu (RON/CNY) CURSL_CNYM;INR  mediu (RON/INR) CURSL_INRM;KRW  mediu (RON/KRW) CURSL_KRWM;MXN  mediu (RON/MXN) CURSL_MXNM;NZD  mediu (RON/NZD) CURSL_NZDM;RSD  mediu (RON/RSD) CURSL_RSDM;UAH  mediu (RON/UAH) CURSL_UAHM;AED  mediu (RON/AED) CURSL_AEDM;HRK  mediu (RON/HRK) CURSL_HRKM;AUD  sfârşitul perioadei (RON/AUD) CURSL_AUDF;CAD  sfârşitul perioadei (RON/CAD) CURSL_CADF;CHF  sfârşitul perioadei (RON/CHF) CURSL_CHFF;CZK  sfârşitul perioadei (RON/CZK) CURSL_CZKF;DKK  sfârşitul perioadei (RON/DKK) CURSL_DKKF;EGP  sfârşitul perioadei (RON/EGP) CURSL_EGPF;EUR  sfârşitul perioadei (RON/EUR) CURSL_EURF;GBP  sfârşitul perioadei (RON/GBP) CURSL_GBPF;HUF  sfârşitul perioadei (RON/HUF) CURSL_HUFF;JPY  sfârşitul perioadei (RON/JPY) CURSL_JPYF;MDL  sfârşitul perioadei (RON/MDL) CURSL_MDLF;NOK  sfârşitul perioadei (RON/NOK) CURSL_NOKF;PLN  sfârşitul perioadei (RON/PLN) CURSL_PLNF;SEK  sfârşitul perioadei (RON/SEK) CURSL_SEKF;TRY  sfârşitul perioadei (RON/TRY) CURSL_TRYF;USD  sfârşitul perioadei (RON/USD) CURSL_USDF;XAU  sfârşitul perioadei (RON/XAU) CURSL_XAUF;XDR  sfârşitul perioadei (RON/XDR) CURSL_XDRF;RUB  sfârşitul perioadei (RON/RUB) CURSL_RUBF;SKK  sfârşitul perioadei (RON/SKK) CURSL_SKKF;BGN  sfârşitul perioadei (RON/BGN) CURSL_BGNF;ZAR  sfârşitul perioadei (RON/ZAR) CURSL_ZARF;BRL  sfârşitul perioadei (RON/BRL) CURSL_BRLF;CNY  sfârşitul perioadei (RON/CNY) CURSL_CNYF;INR  sfârşitul perioadei (RON/INR) CURSL_INRF;KRW  sfârşitul perioadei (RON/KRW) CURSL_KRWF;MXN  sfârşitul perioadei (RON/MXN) CURSL_MXNF;NZD  sfârşitul perioadei (RON/NZD) CURSL_NZDF;RSD  sfârşitul perioadei (RON/RSD) CURSL_RSDF;UAH  sfârşitul perioadei (RON/UAH) CURSL_UAHF;AED  sfârşitul perioadei (RON/AED) CURSL_AEDF;HRK  sfârşitul perioadei (RON/HRK) CURSL_HRKF;THB  mediu (RON/THB) CURSL_THBM;THB  sfârşitul perioadei (RON/THB) CURSL_THBF
iun. 2017;3,0828;3,0641;4,2036;0,1741;0,6147;0,2248;4,5714;5,2055;0,014828;0,036715;0,2234;0,4813;1,0852;0,4688;1,1564;4,0714;164,9773;5,6322;0,0701;-;2,3373;0,3154;1,2348;0,5980;0,0632;0,003594;0,2247;2,9475;0,0375;0,1562;1,1085;0,6169;3,0665;3,0723;4,1655;0,1737;0,6124;0,2203;4,5539;5,1852;0,014734;0,035664;0,2199;0,4757;1,0777;0,4714;1,1326;3,9915;159,6080;5,5552;0,0672;-;2,3284;0,3053;1,2080;0,5888;0,0617;0,003489;0,2211;2,9255;0,0378;0,1532;1,0867;0,6146;0,1198;0,1175
mai. 2017;3,0627;3,0302;4,1783;0,1712;0,6121;0,2277;4,5540;5,3270;0,014697;0,036723;0,2211;0,4844;1,0835;0,4691;1,1541;4,1213;165,1819;5,6655;0,0722;-;2,3284;0,3104;1,2868;0,5985;0,0640;0,003660;0,2194;2,8637;0,0370;0,1559;1,1221;0,6127;3,0441;3,0368;4,1977;0,1728;0,6143;0,2252;4,5702;5,2312;0,014855;0,036870;0,2248;0,4836;1,0956;0,4679;1,1546;4,0844;166,0979;5,6445;0,0720;-;2,3367;0,3116;1,2537;0,5991;0,0633;0,003651;0,2189;2,9027;0,0373;0,1553;1,1120;0,6163;-;-
apr. 2017;3,1831;3,1477;4,2233;0,1688;0,6091;0,2333;4,5299;5,3375;0,014537;0,038352;0,2188;0,4927;1,0682;0,4722;1,1567;4,2259;172,3542;5,7525;0,0748;-;2,3161;0,3138;1,3480;0,6132;0,0655;0,003726;0,2253;2,9451;0,0367;0,1570;1,1505;0,6081;3,0998;3,0381;4,1837;0,1682;0,6094;0,2297;4,5333;5,3604;0,014522;0,037195;0,2160;0,4860;1,0739;0,4703;1,1660;4,1453;168,8079;5,6828;0,0727;-;2,3178;0,3117;1,3026;0,6012;0,0645;0,003640;0,2177;2,8448;0,0368;0,1560;1,1286;0,6067;-;-
mar. 2017;3,2433;3,1794;4,2478;0,1683;0,6117;0,2407;4,5482;5,2504;0,014684;0,037672;0,2157;0,5005;1,0604;0,4774;1,1600;4,2563;168,4562;5,7656;0,0735;-;2,3255;0,3294;1,3619;0,6171;0,0647;0,003753;0,2203;2,9815;0,0367;0,1575;1,1588;0,6127;3,2586;3,1914;4,2563;0,1682;0,6119;0,2336;4,5511;5,3015;0,014762;0,038048;0,2176;0,4961;1,0782;0,4772;1,1721;4,2615;170,1555;5,7799;0,0758;-;2,3269;0,3187;1,3533;0,6183;0,0657;0,003808;0,2282;2,9766;0,0367;0,1574;1,1602;0,6117;-;-
feb. 2017;3,2500;3,2369;4,2335;0,1670;0,6069;0,2499;4,5120;5,2950;0,014626;0,037537;0,2120;0,5091;1,0470;0,4762;1,1570;4,2411;168,2271;5,7449;0,0726;-;2,3070;0,3213;1,3660;0,6170;0,0633;0,003711;0,2087;3,0626;0,0364;0,1565;1,1547;0,6058;3,2690;3,2332;4,2416;0,1671;0,6076;0,2684;4,5160;5,2992;0,014674;0,037938;0,2134;0,5094;1,0460;0,4723;1,1808;4,2610;171,5721;5,7665;0,0735;-;2,3090;0,3280;1,3705;0,6203;0,0638;0,003779;0,2134;3,0649;0,0364;0,1581;1,1601;0,6072;-;-
ian. 2017;3,1601;3,2116;4,2021;0,1666;0,6054;0,2275;4,5016;5,2240;0,014571;0,036842;0,2107;0,5002;1,0310;0,4735;1,1276;4,2401;162,4465;5,7238;0,0709;-;2,3017;0,3126;1,3246;0,6149;0,0623;0,003587;0,1982;3,0174;0,0364;0,1558;1,1544;0,5978;3,1776;3,2089;4,2267;0,1667;0,6055;0,2247;4,5038;5,2324;0,014468;0,036985;0,2108;0,5063;1,0399;0,4769;1,1087;4,2072;162,1403;5,7042;0,0700;-;2,3027;0,3106;1,3454;0,6114;0,0620;0,003613;0,2021;3,0631;0,0363;0,1546;1,1455;0,6021;-;-
dec. 2016;3,1448;3,2099;4,1998;0,1671;0,6075;0,2305;4,5173;5,3454;0,014467;0,036867;0,2126;0,5004;1,0181;0,4652;1,2236;4,2820;158,4510;5,7685;0,0692;-;2,3097;0,3090;1,2743;0,6184;0,0631;0,003614;0,2086;3,0140;0,0366;0,1629;1,1658;0,5992;3,1094;3,1921;4,2245;0,1680;0,6108;0,2326;4,5411;5,2961;0,014627;0,036834;0,2174;0,5001;1,0264;0,4740;1,2217;4,3033;160,4449;5,7868;0,0699;-;2,3218;0,3144;1,3222;0,6197;0,0634;0,003581;0,2076;2,9938;0,0368;0,1588;1,1716;0,6007;-;-
nov. 2016;3,1454;3,1014;4,1925;0,1668;0,6061;0,2729;4,5102;5,1826;0,014613;0,038645;0,2076;0,4965;1,0283;0,4578;1,2722;4,1710;166,5772;5,6995;0,0648;-;2,3060;0,2996;1,2494;0,6097;0,0617;0,003585;0,2080;2,9831;0,0366;0,1620;1,1356;0,5997;3,1808;3,1683;4,1990;0,1670;0,6070;0,2377;4,5162;5,3110;0,014515;0,037864;0,2100;0,4977;1,0205;0,4624;1,2458;4,2616;162,7588;5,7646;0,0655;-;2,3091;0,3057;1,2529;0,6178;0,0621;0,003636;0,2062;3,0232;0,0367;0,1665;1,1603;0,5990;-;-
oct. 2016;3,1055;3,0792;4,1294;0,1663;0,6040;0,4590;4,4942;5,0298;0,014642;0,039266;0,2047;0,4992;1,0432;0,4633;1,3249;4,0756;166,2981;5,6278;0,0651;-;2,2979;0,2923;1,2781;0,6056;0,0611;0,003617;0,2156;2,9174;0,0365;0,1581;1,1096;0,5987;3,1280;3,0718;4,1598;0,1667;0,6056;0,4632;4,5057;5,0069;0,014602;0,039190;0,2059;0,4980;1,0422;0,4566;1,3253;4,1131;168,5008;5,6530;0,0651;-;2,3037;0,3020;1,2831;0,6073;0,0616;0,003592;0,2172;2,9437;0,0366;0,1609;1,1198;0,6001;-;-
sep. 2016;3,0138;3,0333;4,0754;0,1647;0,5976;0,4475;4,4506;5,2208;0,014417;0,038976;0,2006;0,4838;1,0298;0,4653;1,3376;3,9700;169,3589;5,5539;0,0616;-;2,2755;0,2828;1,2218;0,5949;0,0595;0,003578;0,2071;2,9036;0,0361;0,1507;1,0808;0,5935;3,0334;3,0250;4,1041;0,1648;0,5975;0,4484;4,4523;5,1627;0,014386;0,039373;0,2009;0,4949;1,0325;0,4627;1,3255;3,9822;169,8734;5,5611;0,0629;-;2,2764;0,2857;1,2216;0,5971;0,0598;0,003615;0,2035;2,8906;0,0361;0,1536;1,0841;0,5927;-;-
aug. 2016;3,0349;3,0618;4,0998;0,1650;0,5993;0,4489;4,4594;5,2208;0,014366;0,039281;0,2010;0,4787;1,0364;0,4699;1,3425;3,9775;171,4264;5,5662;0,0612;-;2,2800;0,2892;1,2395;0,5982;0,0594;0,003579;0,2150;2,8786;0,0362;0,1585;1,0829;0,5957;3,0044;3,0507;4,0614;0,1648;0,5983;0,4550;4,4535;5,2459;0,014365;0,038733;0,1995;0,4799;1,0225;0,4680;1,3508;3,9945;168,7702;5,5710;0,0613;-;2,2770;0,2764;1,2340;0,5981;0,0596;0,003582;0,2127;2,8971;0,0362;0,1545;1,0875;0,5954;-;-
iul. 2016;3,0533;3,1097;4,1282;0,1659;0,6030;0,4569;4,4858;5,3310;0,014265;0,038956;0,2045;0,4787;1,0201;0,4736;1,3689;4,0529;174,3899;5,6355;0,0630;-;2,2936;0,2810;1,2366;0,6069;0,0603;0,003548;0,2182;2,8926;0,0364;0,1631;1,1034;0,5988;3,0187;3,0534;4,1184;0,1651;0,6003;0,4527;4,4654;5,2967;0,014285;0,038831;0,2037;0,4700;1,0225;0,4665;1,3341;4,0203;172,4392;5,6001;0,0601;-;2,2831;0,2835;1,2214;0,6044;0,0600;0,003579;0,2121;2,8548;0,0363;0,1623;1,0945;0,5967;-;-
iun. 2016;2,9780;3,1225;4,1484;0,1671;0,6080;0,4534;4,5218;5,7168;0,014403;0,038171;0,2031;0,4845;1,0277;0,4847;1,3798;4,0257;164,8469;5,6661;0,0617;-;2,3120;0,2668;1,1735;0,6105;0,0598;0,003446;0,2158;2,8309;0,0366;0,1612;1,0960;0,6013;3,0239;3,1391;4,1572;0,1669;0,6077;0,4575;4,5210;5,4634;0,014281;0,039519;0,2052;0,4854;1,0204;0,4795;1,4069;4,0624;171,9706;5,6782;0,0634;-;2,3116;0,2758;1,2509;0,6112;0,0602;0,003529;0,2197;2,8917;0,0367;0,1631;1,1060;0,6007;-;-
mai. 2016;2,9058;3,0734;4,0689;0,1664;0,6049;0,4487;4,4994;5,7830;0,014298;0,036507;0,2002;0,4832;1,0214;0,4841;1,3513;3,9802;160,8712;5,6138;0,0605;-;2,3005;0,2589;1,1269;0,6093;0,0595;0,003382;0,2190;2,7033;0,0366;0,1576;1,0836;0,6003;2,9310;3,0996;4,0858;0,1670;0,6066;0,4560;4,5115;5,9070;0,014363;0,036455;0,2024;0,4837;1,0290;0,4859;1,3697;4,0491;157,6803;5,6777;0,0614;-;2,3067;0,2560;1,1356;0,6150;0,0602;0,003403;0,2194;2,7228;0,0367;0,1613;1,1024;0,6034;-;-
apr. 2016;3,0243;3,0736;4,0925;0,1655;0,6009;0,4446;4,4727;5,6446;0,014358;0,036007;0,2002;0,4800;1,0381;0,4860;1,3907;3,9455;157,5814;5,5582;0,0593;-;2,2869;0,2700;1,1098;0,6090;0,0593;0,003441;0,2255;2,7187;0,0364;0,1540;1,0742;0,5969;3,0047;3,1450;4,0843;0,1655;0,6015;0,4431;4,4774;5,7369;0,014364;0,036741;0,1995;0,4855;1,0163;0,4883;1,4036;3,9348;161,3583;5,5723;0,0611;-;2,2893;0,2776;1,1287;0,6065;0,0592;0,003450;0,2293;2,7502;0,0366;0,1564;1,0713;0,5958;-;-
